Area Fips,State Name,Annual Avg Emplvl,Annual Avg Estabs,Annual Avg Wkly Wage,Avg Annual Pay,Total Annual Wages
13249,Georgia,1152,78,890,46268,53319753
13251,Georgia,2899,295,842,43762,126847739
13253,Georgia,2366,232,809,42085,99580023
13255,Georgia,23477,1503,959,49873,1170859857
13257,Georgia,8540,636,958,49830,425571968
13259,Georgia,1679,90,1046,54378,91323188
13261,Georgia,9902,728,875,45522,450755648
13263,Georgia,866,100,905,47041,40717677
13265,Georgia,212,27,680,35355,7512984
13267,Georgia,5770,423,900,46821,270137030
13269,Georgia,1642,180,1025,53284,87478647
13271,Georgia,2068,225,805,41880,86608389
13273,Georgia,2136,227,861,44769,95633325
13275,Georgia,20952,1737,1058,55040,1153176453
13277,Georgia,22007,1212,972,50544,1112307541
13279,Georgia,12281,773,885,45997,564877434
13281,Georgia,3398,370,862,44811,152278441
13283,Georgia,1104,102,926,48152,53171725
13285,Georgia,42086,1831,1089,56630,2383300477
13287,Georgia,1931,200,836,43479,83947673
13289,Georgia,1639,120,848,44077,72234103
13291,Georgia,7867,770,898,46683,367274036
13293,Georgia,7233,524,936,48658,351949617
13295,Georgia,14922,915,880,45778,683079354
13297,Georgia,26450,2366,1043,54248,1434830300
13299,Georgia,14597,1009,887,46107,673008130
13301,Georgia,1617,104,1066,55413,89607623
13303,Georgia,6423,438,956,49708,319273320
13305,Georgia,8867,685,978,50870,451050921
13307,Georgia,493,45,1085,56434,27803057
13309,Georgia,1033,83,893,46426,47942156
13311,Georgia,9487,846,773,40185,381244278
13313,Georgia,57828,2734,1055,54855,3172181113
13315,Georgia,1173,114,785,40801,47866851
13317,Georgia,2697,243,958,49819,134362737
13319,Georgia,2836,174,1120,58230,165153490
13321,Georgia,3024,366,794,41312,124946718
13999,Georgia,226841,52151,2055,106838,24235187460
15000,Hawaii,639801,59537,1295,67366,43100811312
15001,Hawaii,74029,7367,1113,57868,4283943826
15003,Hawaii,453193,31849,1343,69851,31656038299
15007,Hawaii,32830,3468,1149,59731,1960972297
15009,Hawaii,73656,7892,1189,61830,4554154939
15999,Hawaii,6092,8961,2038,105987,645701951
16000,Idaho,858504,102742,1146,59572,51142828893
16001,Idaho,288010,26886,1357,70588,20330025405
16003,Idaho,1025,211,1095,56947,58371043
16005,Idaho,37594,3231,918,47720,1794011328
16007,Idaho,1998,282,774,40230,80369197
16009,Idaho,3392,427,1080,56185,190606508
16011,Idaho,16096,1520,915,47602,766190015
16013,Idaho,14374,2272,1168,60713,872672597
16015,Idaho,1782,267,777,40427,72038113
16017,Idaho,15970,2496,995,51761,826640126
